Epoch	Time	Training accuracy	Test accuracy
188	54284.5	0.998605		0.908887
189	54570.2	0.998938		0.908008
190	54856	0.999018		0.909961
191	55141.8	0.998498		0.906055
192	55429	0.999063		0.908301
193	55714.8	0.998838		0.90791
194	56000.6	0.998818		0.906152
195	56287.8	0.998824		0.905762
196	56573.5	0.998798		0.908398
197	56859.3	0.998698		0.90957
198	57146.6	0.999123		0.906152
199	57432.4	0.998718		0.909375
