Epoch	Time	Training accuracy	Test accuracy
188	9097.06	0.990892		0.82627
189	9144.58	0.990725		0.825098
190	9192.02	0.992047		0.826953
191	9239.58	0.991687		0.825977
192	9287.36	0.991291		0.823828
193	9334.84	0.991847		0.826172
194	9382.33	0.991807		0.829687
195	9430.03	0.992447		0.824902
196	9477.52	0.991206		0.827246
197	9525.03	0.991446		0.825098
198	9572.79	0.991749		0.825586
199	9620.27	0.991887		0.825391
